Part.,Condition,PSS 10m (WTI),PSS 15m (WTI),PSS 20m (WTI),PSS 25m (WTI),PSS 30m (WTI),PSS 35m (WTI),Linear Fitting,Adjust.( R2)
1*,“Audiovisual Depth Cues”,16 (77),2 (73),18 (80),26 (88),60 (100),57 (84),y = 2.21x - 19.9,0.71
,“Visual Depth Cues”,54 (98.5),69 (113),69 (106),80 (96.5),113 (78),95 (86.3),y = 1.96x + 35.62,0.71
,“Reduced Depth Cues”,89 (108),83 (117),86 (98.5),62 (88),75 (86.5),61 (79.5),y = -1.07x + 100.3,0.60
2,“Audiovisual Depth Cues”,-10.5 (102),-13 (89),30 (104),36 (138),74 (100),91 (106),y = 4.42x - 64.9,0.93
,“Visual Depth Cues”,35 (86),43 (70),47 (77),52 (69.5),43 (87),71 (60.5),y = 1.04x + 24.88,0.54
,“Reduced Depth Cues”,46 (66),31 (69),40 (60.5),27 (62),10 (49.5),18 (68),y = -1.20x + 55.50,0.66
3*,“Audiovisual Depth Cues”,22 (126),-3 (118),28 (114),20 (117),75 (105),84 (125),y = 3.06x - 31,0.62
,“Visual Depth Cues”,41 (107),40 (109),45 (104),47 (116.5),59 (90.5),63 (116.5),y = 0.97x + 27.16,0.85
,“Reduced Depth Cues”,2 (116),-11 (115),-4 (113.5),-13 (121),-18 (109),5 (117),y = -0.07x - 4.88,0.42
4,“Audiovisual Depth Cues”,50 (253),69 (232),68 (161),76 (213),106.5 (124),126 (160),y = 2.86x + 18.23,0.88
,“Visual Depth Cues”,103 (132.5),88 (106),117 (125),108 (119),96 (101),100 (100.5),y = 102,0.71
,“Reduced Depth Cues”,-12 (91.5),-13 (103),-25 (91),-30 (64.5),-19 (101.5),-13 (91),y = -0.17x - 14.73,0.71